code,name,time_key,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close
HK.09988,阿里巴巴-W,2019-11-26 00:00:00,184.40323,185.00323,186.90323,184.40323,40.188,0.00349,74549578,13996288126.0,6.689610107032028,173.40323
HK.09988,阿里巴巴-W,2019-11-27 00:00:00,187.40323,190.60323,192.70323,186.70323,41.388,0.00251,53617241,10354262260.0,3.026974177694084,185.00323
HK.09988,阿里巴巴-W,2019-11-28 00:00:00,194.40323,201.40323,201.60323,194.30323,43.701,0.00196,41816834,8369008729.0,5.666220871493107,190.60323
HK.09988,阿里巴巴-W,2019-11-29 00:00:00,201.40323,195.80323,202.20323,194.90323,42.502,0.00171,36509531,7303350200.0,-2.7804916534853956,201.40323
HK.09988,阿里巴巴-W,2019-12-02 00:00:00,195.40323,192.90323,196.30323,191.40323,41.88,0.00124,26592325,5215712264.0,-1.4810787339922868,195.80323
HK.09988,阿里巴巴-W,2019-12-03 00:00:00,189.10323,190.00323,191.60323,187.80323,41.259,0.00093,19911922,3833266643.0,-1.503344448923953,192.90323
HK.09988,阿里巴巴-W,2019-12-04 00:00:00,187.40323,186.40323,189.00323,185.90323,40.488,0.0009,19276308,3662461874.0,-1.8947046321265142,190.00323
HK.09988,阿里巴巴-W,2019-12-05 00:00:00,188.80323,189.80323,191.20323,188.30323,41.216,0.00084,17932572,3449250867.0,1.8240027278497297,186.40323
HK.09988,阿里巴巴-W,2019-12-06 00:00:00,193.50323,194.90323,195.50323,192.80323,42.309,0.0009,19205791,3786161450.0,2.6869932613897003,189.80323
HK.09988,阿里巴巴-W,2019-12-09 00:00:00,194.40323,194.00323,195.70323,193.40323,42.116,0.0004,8558132,1684030748.0,-0.46176761667828986,194.90323
HK.09988,阿里巴巴-W,2019-12-10 00:00:00,192.40323,192.80323,193.90323,191.10323,41.859,0.00031,6639899,1297729168.0,-0.6185464025521579,194.00323
HK.09988,阿里巴巴-W,2019-12-11 00:00:00,193.60323,195.00323,195.80323,192.80323,42.33,0.00031,6534411,1289656822.0,1.1410597218729108,192.80323
HK.09988,阿里巴巴-W,2019-12-12 00:00:00,197.00323,197.60323,198.60323,197.00323,43.903,0.00041,8825275,1767082379.0,1.333311248229065,195.00323
HK.09988,阿里巴巴-W,2019-12-13 00:00:00,200.20323,199.40323,200.40323,196.80323,44.298,0.00087,18576570,3730374498.0,0.9109162841113535,197.60323
HK.09988,阿里巴巴-W,2019-12-16 00:00:00,199.00323,198.40323,200.20323,197.40323,44.078,0.00031,6616578,1332865469.0,-0.5014963900033114,199.40323
HK.09988,阿里巴巴-W,2019-12-17 00:00:00,200.60323,201.20323,203.20323,199.60323,44.692,0.00052,11225195,2289954265.0,1.4112673468067949,198.40323
HK.09988,阿里巴巴-W,2019-12-18 00:00:00,201.20323,200.00323,201.20323,199.00323,44.429,0.00038,8179646,1656570056.0,-0.5964118965684541,201.20323
